highlight_marker
进球
破门
传中
挑传
传球
传
左脚
右脚
停球
门柱
球门
禁区
越位
过人
得分
角球
犯规
红牌
黄牌
暂停
点球
比
打平
拿球
换
换下
换人
绝杀
大力
抽射
首发
低射
防守
妙传
罚下
铲球
下铲
铲
扳平
